ECLIPSE ANDROID PROJECT IMPORT SUMMARY
======================================

Manifest Merging:
-----------------
Your project uses libraries that provide manifests, and your Eclipse
project did not explicitly turn on manifest merging. In Android Gradle
projects, manifests are always merged (meaning that contents from your
libraries' manifests will be merged into the app manifest. If you had
manually copied contents from library manifests into your app manifest
you may need to remove these for the app to build correctly.

Ignored Files:
--------------
The following files were *not* copied into the new Gradle project; you
should evaluate whether these are still needed in your project and if
so manually move them:

* .gitignore
* README.md
* endpoint-libs/
* endpoint-libs/libdeviceinfoendpoint-v1/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/LICENSE.txt
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/classpath-include
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/APACHE-LICENSE.txt
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/CDDL-LICENSE.txt
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/css/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/css/maven-base.css
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/css/maven-theme.css
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/css/print.css
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/css/site.css
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-android-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-appengine-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-gson-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-jackson2-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-java6-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-api-client-servlet-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-android-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-appengine-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-gson-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-jackson2-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-http-client-jdo-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-oauth-client-appengine-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-oauth-client-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-oauth-client-java6-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-oauth-client-jetty-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/google-oauth-client-servlet-dependencies.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/close.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/collapsed.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/expanded.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/external.png
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/icon_error_sml.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/icon_info_sml.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/icon_success_sml.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/icon_warning_sml.gif
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/logos/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/logos/build-by-maven-black.png
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/logos/build-by-maven-white.png
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/logos/maven-feather.png
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/dependencies/images/newwindow.png
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/descriptor.json
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/commons-logging-1.1.1-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-android-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-gson-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-jackson2-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-java6-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-api-client-servlet-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-android-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-gson-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-jackson2-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-http-client-jdo-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-oauth-client-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-oauth-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-oauth-client-java6-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-oauth-client-jetty-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/google-oauth-client-servlet-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/gson-2.1-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/httpclient-4.0.1-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/httpcore-4.0.1-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/jackson-core-2.1.3-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/jdo2-api-2.3-eb-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/jetty-6.1.26-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/jetty-util-6.1.26-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs-sources/transaction-api-1.1-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/commons-logging-1.1.1.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-android-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-android-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-appengine-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-gson-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-jackson2-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-java6-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-api-client-servlet-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-android-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-android-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-appengine-1.18.0-rc.jar
